圖片轉換日誌 - 2025-09-15 22:32:03
來源: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram
輸出: C:\Users\joker\Desktop\my-blog\photoblog\img\instagram_output
目標最大寬度: 1200px, 目標最大檔案: 500 KB
====================================================================================================
新檔名 (相對路徑)                          | 原始檔名 (相對路徑)                              | 品質       | 最終大小            | 尺寸 (WxH)
202308\005.webp                     | 202308\364338768_1055014425460641_7517488498554760139_n_18024985423546043.heic | 95       | 93.91 KB        | 1200x675
202308\006.webp                     | 202308\364933017_1323100521647868_1207094923503067792_n_18013251301698253.heic | 95       | 31.73 KB        | 1200x675
202308\007.webp                     | 202308\364977805_212045248502751_3031686886960235414_n_18279203422125678.heic | 95       | 133.24 KB       | 1200x675
202308\008.webp                     | 202308\365001196_2022731094738742_535869621297428318_n_18188659687282843.heic | 95       | 101.23 KB       | 1200x675
202308\009.webp                     | 202308\365007454_2546293848857284_3242262332534142227_n_18037193182518010.heic | 95       | 22.67 KB        | 1200x675
202308\010.webp                     | 202308\365071439_1003473464124102_7058229886552963706_n_18085699954366406.heic | 95       | 51.38 KB        | 1200x675
202308\011.webp                     | 202308\370049810_1197868934939075_6528020979100185417_n_18022252714648164.heic | 95       | 147.95 KB       | 1200x675
202308\012.webp                     | 202308\370366309_1006877493680950_8530200602467826025_n_17853471441023332.heic | 95       | 150.80 KB       | 1200x675
202308\013.webp                     | 202308\370473008_958174875285638_8466640587932072521_n_17908491884811357.heic | 95       | 105.32 KB       | 1200x675
202308\014.webp                     | 202308\370620539_1371974106687542_676495092170797402_n_17977983380440423.heic | 95       | 173.63 KB       | 1200x675
202308\015.webp                     | 202308\370628289_218031780919581_4127834233670869681_n_17911682141729153.heic | 95       | 122.61 KB       | 1200x675
202308\016.webp                     | 202308\370866680_673444111371474_4125926500863779620_n_18302931454107544.heic | 95       | 129.99 KB       | 1200x675
202308\017.webp                     | 202308\371077738_1261424654561461_4875325483894489195_n_18023466202625242.heic | 95       | 232.85 KB       | 1200x675
202308\018.webp                     | 202308\371169681_997693798216040_1738093088876706961_n_18005551906936407.heic | 95       | 32.20 KB        | 1200x675
202308\019.webp                     | 202308\371172873_138656562632887_5496212471311308398_n_17999440679018127.heic | 95       | 126.14 KB       | 1200x675
202308\020.webp                     | 202308\372117497_1431108197791498_1269015662458616261_n_17889656453825768.heic | 95       | 114.29 KB       | 1200x675
202309\001.webp                     | 202309\375164986_550042953914968_8722379488785976338_n_17993939594485517.heic | 95       | 165.01 KB       | 1200x675
